Timestamp,estimated-transaction-volume-usd
2010-08-28 00:00:00,861.929599853
2010-08-29 00:00:00,469.5138
2010-08-30 00:00:00,944.537300028
2010-08-31 00:00:00,2427.5209
2010-09-01 00:00:00,1010.300400006
2010-09-02 00:00:00,1604.6628
2010-09-03 00:00:00,1513.3758
2010-09-04 00:00:00,1531.5042
2010-09-05 00:00:00,1828.3764
2010-09-06 00:00:00,1694.7888
2010-09-07 00:00:00,783.2022
2010-09-08 00:00:00,786.754200018
2010-09-09 00:00:00,1023.925200006
2010-09-10 00:00:00,594.225
2010-09-11 00:00:00,559.1766
2010-09-12 00:00:00,939.3114
2010-09-13 00:00:00,1688.811
2010-09-14 00:00:00,1218.6276237888
2010-09-15 00:00:00,2492.3502
2010-09-16 00:00:00,4101.552
2010-09-17 00:00:00,4175.8764
2010-09-18 00:00:00,2351.6856
2010-09-19 00:00:00,2135.7834
2010-09-20 00:00:00,1926.975
2010-09-21 00:00:00,989.0634
2010-09-22 00:00:00,1706.9796
2010-09-23 00:00:00,4105.2816
2010-09-24 00:00:00,1059.924
2010-09-25 00:00:00,1421.9406
2010-09-26 00:00:00,1207.464
2010-09-27 00:00:00,1767.6606
2010-09-28 00:00:00,4446.0202316964
2010-09-29 00:00:00,1472.1138
2010-09-30 00:00:00,1875.3306
2010-10-01 00:00:00,2111.7904359882
2010-10-02 00:00:00,17508.0792
2010-10-03 00:00:00,2186.6442
2010-10-04 00:00:00,4072.4898
2010-10-05 00:00:00,6137.536800012
2010-10-06 00:00:00,4998.297
2010-10-07 00:00:00,5650.5246
2010-10-08 00:00:00,8206.45
2010-10-09 00:00:00,14729.4
2010-10-10 00:00:00,10896.4656
2010-10-11 00:00:00,2945.2368
2010-10-12 00:00:00,5828.9436
2010-10-13 00:00:00,3541.591
2010-10-14 00:00:00,8569.171
2010-10-15 00:00:00,4345.6589
2010-10-16 00:00:00,11582.5608
2010-10-17 00:00:00,1243.605
2010-10-18 00:00:00,3527.157
2010-10-19 00:00:00,3621.433
2010-10-20 00:00:00,5410.44800000001
2010-10-21 00:00:00,6071.105
2010-10-22 00:00:00,2832.0886
2010-10-23 00:00:00,2386.8284
2010-10-24 00:00:00,9307.6451
2010-10-25 00:00:00,7509.2994
2010-10-26 00:00:00,9658.22559999999
2010-10-27 00:00:00,16422.7108
2010-10-28 00:00:00,16050.2234
2010-10-29 00:00:00,10160.5464
2010-10-30 00:00:00,6530.3057
2010-10-31 00:00:00,8933.9349
2010-11-01 00:00:00,4646.002
2010-11-02 00:00:00,4586.306
2010-11-03 00:00:00,6455.4273
2010-11-04 00:00:00,33948.6606
2010-11-05 00:00:00,8610.0816
2010-11-06 00:00:00,25863.5825
2010-11-07 00:00:00,9674.02
2010-11-08 00:00:00,195629.0635
2010-11-09 00:00:00,10425.7944
2010-11-10 00:00:00,8828.336
2010-11-11 00:00:00,5038.9014
2010-11-12 00:00:00,3352.9536
2010-11-13 00:00:00,5202.8366
2010-11-14 00:00:00,9223.884
2010-11-15 00:00:00,17381.277
2010-11-16 00:00:00,8488.5948
2010-11-17 00:00:00,8311.898
2010-11-18 00:00:00,8287.3056
2010-11-19 00:00:00,5037.0071
2010-11-20 00:00:00,12329.6376
2010-11-21 00:00:00,11834.0532
2010-11-22 00:00:00,4107.0641
2010-11-23 00:00:00,9171.2908
2010-11-24 00:00:00,7007.7021
2010-11-25 00:00:00,10748.892
2010-11-26 00:00:00,21817.138
2010-11-27 00:00:00,5373.5173
2010-11-28 00:00:00,3426.962
2010-11-29 00:00:00,8936.4492
2010-11-30 00:00:00,15045.9512
2010-12-01 00:00:00,9743.14119999999
2010-12-02 00:00:00,8956.0068
2010-12-03 00:00:00,5766.7
2010-12-04 00:00:00,11597.4112614152
2010-12-05 00:00:00,4808.66499999999
2010-12-06 00:00:00,15232.9082756668
2010-12-07 00:00:00,13195.2888967874
2010-12-08 00:00:00,3899.9076
2010-12-09 00:00:00,5589.14
2010-12-10 00:00:00,2885.0878
2010-12-11 00:00:00,7112.1288
2010-12-12 00:00:00,3622.086
2010-12-13 00:00:00,18809.7235042644
