Timestamp,n-transactions-per-block
2009-06-16 00:00:00,1.0
2009-06-17 00:00:00,1.0
2009-06-18 00:00:00,1.0
2009-06-19 00:00:00,1.0
2009-06-20 00:00:00,1.0
2009-06-21 00:00:00,1.0
2009-06-22 00:00:00,1.01315789473684
2009-06-23 00:00:00,1.0
2009-06-24 00:00:00,1.02105263157895
2009-06-25 00:00:00,1.01470588235294
2009-06-26 00:00:00,1.0
2009-06-27 00:00:00,1.0
2009-06-28 00:00:00,1.02173913043478
2009-06-29 00:00:00,1.01204819277108
2009-06-30 00:00:00,1.01176470588235
2009-07-01 00:00:00,1.01351351351351
2009-07-02 00:00:00,1.01204819277108
2009-07-03 00:00:00,1.0
2009-07-04 00:00:00,1.0
2009-07-05 00:00:00,1.0
2009-07-06 00:00:00,1.0
2009-07-07 00:00:00,1.0
2009-07-08 00:00:00,1.0
2009-07-09 00:00:00,1.0
2009-07-10 00:00:00,1.0
2009-07-11 00:00:00,1.0
2009-07-12 00:00:00,1.0
2009-07-13 00:00:00,1.0
2009-07-14 00:00:00,1.0
2009-07-15 00:00:00,1.0
2009-07-16 00:00:00,1.0
2009-07-17 00:00:00,1.0
2009-07-18 00:00:00,1.0
2009-07-19 00:00:00,1.0
2009-07-20 00:00:00,1.01428571428571
2009-07-21 00:00:00,1.0
2009-07-22 00:00:00,1.0
2009-07-23 00:00:00,1.0
2009-07-24 00:00:00,1.0
2009-07-25 00:00:00,1.0
2009-07-26 00:00:00,1.0
2009-07-27 00:00:00,1.0
2009-07-28 00:00:00,1.0
2009-07-29 00:00:00,1.05
2009-07-30 00:00:00,1.07142857142857
2009-07-31 00:00:00,1.0
2009-08-01 00:00:00,1.0
2009-08-02 00:00:00,1.0
2009-08-03 00:00:00,1.0
2009-08-04 00:00:00,1.0
2009-08-05 00:00:00,1.0
2009-08-06 00:00:00,1.0
2009-08-07 00:00:00,1.0125
2009-08-08 00:00:00,1.0
2009-08-09 00:00:00,1.0
2009-08-10 00:00:00,1.0
2009-08-11 00:00:00,1.0
2009-08-12 00:00:00,1.0
2009-08-13 00:00:00,1.0
2009-08-14 00:00:00,1.0
2009-08-15 00:00:00,1.0
2009-08-16 00:00:00,1.0
2009-08-17 00:00:00,1.0
2009-08-18 00:00:00,1.0
2009-08-19 00:00:00,1.0
2009-08-20 00:00:00,1.0
2009-08-21 00:00:00,1.0
2009-08-22 00:00:00,1.0
2009-08-23 00:00:00,1.0
2009-08-24 00:00:00,1.0
2009-08-25 00:00:00,1.0
2009-08-26 00:00:00,1.06382978723404
2009-08-27 00:00:00,1.0
2009-08-28 00:00:00,1.0
2009-08-29 00:00:00,1.0
2009-08-30 00:00:00,1.01030927835052
2009-08-31 00:00:00,1.01162790697674
2009-09-01 00:00:00,1.0
2009-09-02 00:00:00,1.0
2009-09-03 00:00:00,1.01639344262295
2009-09-04 00:00:00,1.0
2009-09-05 00:00:00,1.0
2009-09-06 00:00:00,1.0
2009-09-07 00:00:00,1.01282051282051
2009-09-08 00:00:00,1.0
2009-09-09 00:00:00,1.0
2009-09-10 00:00:00,1.0
2009-09-11 00:00:00,1.0
2009-09-12 00:00:00,1.0
2009-09-13 00:00:00,1.0
2009-09-14 00:00:00,1.0
2009-09-15 00:00:00,1.0
2009-09-16 00:00:00,1.01408450704225
2009-09-17 00:00:00,1.01190476190476
2009-09-18 00:00:00,1.0
2009-09-19 00:00:00,1.0
2009-09-20 00:00:00,1.0
2009-09-21 00:00:00,1.01449275362319
2009-09-22 00:00:00,1.03846153846154
2009-09-23 00:00:00,1.0
2009-09-24 00:00:00,1.0
2009-09-25 00:00:00,1.02197802197802
2009-09-26 00:00:00,1.0
2009-09-27 00:00:00,1.01149425287356
2009-09-28 00:00:00,1.0
2009-09-29 00:00:00,1.02272727272727
2009-09-30 00:00:00,1.0
2009-10-01 00:00:00,1.0
2009-10-02 00:00:00,1.01388888888889
2009-10-03 00:00:00,1.0
2009-10-04 00:00:00,1.0
2009-10-05 00:00:00,1.0
2009-10-06 00:00:00,1.04545454545455
2009-10-07 00:00:00,1.0
2009-10-08 00:00:00,1.0
2009-10-09 00:00:00,1.0
2009-10-10 00:00:00,1.0
2009-10-11 00:00:00,1.0
2009-10-12 00:00:00,1.01724137931034
2009-10-13 00:00:00,1.0
2009-10-14 00:00:00,1.0
2009-10-15 00:00:00,1.0
2009-10-16 00:00:00,1.01666666666667
2009-10-17 00:00:00,1.0
2009-10-18 00:00:00,1.01351351351351
2009-10-19 00:00:00,1.0
2009-10-20 00:00:00,1.01052631578947
2009-10-21 00:00:00,1.0125
2009-10-22 00:00:00,1.01111111111111
2009-10-23 00:00:00,1.0
2009-10-24 00:00:00,1.01612903225806
2009-10-25 00:00:00,1.0
2009-10-26 00:00:00,1.0
2009-10-27 00:00:00,1.015625
2009-10-28 00:00:00,1.0
2009-10-29 00:00:00,1.04444444444444
2009-10-30 00:00:00,1.0
2009-10-31 00:00:00,1.0
2009-11-01 00:00:00,1.0
2009-11-02 00:00:00,1.0
2009-11-03 00:00:00,1.0
2009-11-04 00:00:00,1.01587301587302
2009-11-05 00:00:00,1.0
2009-11-06 00:00:00,1.0
2009-11-07 00:00:00,1.0
2009-11-08 00:00:00,1.0
2009-11-09 00:00:00,1.0
2009-11-10 00:00:00,1.0
2009-11-11 00:00:00,1.140625
2009-11-12 00:00:00,1.0
2009-11-13 00:00:00,1.0375
2009-11-14 00:00:00,1.0
2009-11-15 00:00:00,1.0
2009-11-16 00:00:00,1.0
2009-11-17 00:00:00,1.0
2009-11-18 00:00:00,1.0
2009-11-19 00:00:00,1.02857142857143
2009-11-20 00:00:00,1.0
2009-11-21 00:00:00,1.0
2009-11-22 00:00:00,1.0
2009-11-23 00:00:00,1.0
2009-11-24 00:00:00,1.0
2009-11-25 00:00:00,1.0
2009-11-26 00:00:00,1.0
2009-11-27 00:00:00,1.0
2009-11-28 00:00:00,1.0
2009-11-29 00:00:00,1.0
2009-11-30 00:00:00,1.0
2009-12-01 00:00:00,1.01369863013699
2009-12-02 00:00:00,1.0
2009-12-03 00:00:00,1.0
2009-12-04 00:00:00,1.0
2009-12-05 00:00:00,1.015625
2009-12-06 00:00:00,1.01941747572816
2009-12-07 00:00:00,1.0
2009-12-08 00:00:00,1.01904761904762
2009-12-09 00:00:00,1.13541666666667
2009-12-10 00:00:00,1.0
2009-12-11 00:00:00,1.0
2009-12-12 00:00:00,1.01818181818182
2009-12-13 00:00:00,1.0
2009-12-14 00:00:00,1.04901960784314
2009-12-15 00:00:00,1.01818181818182
2009-12-16 00:00:00,1.00735294117647
2009-12-17 00:00:00,1.01775147928994
2009-12-18 00:00:00,1.0
2009-12-19 00:00:00,1.0050505050505
2009-12-20 00:00:00,1.0
2009-12-21 00:00:00,1.00571428571429
2009-12-22 00:00:00,1.0
2009-12-23 00:00:00,1.0
2009-12-24 00:00:00,1.0
2009-12-25 00:00:00,1.00671140939597
2009-12-26 00:00:00,1.0
2009-12-27 00:00:00,1.0059880239521
2009-12-28 00:00:00,1.0
2009-12-29 00:00:00,1.0
2009-12-30 00:00:00,1.0
2009-12-31 00:00:00,1.0
2010-01-01 00:00:00,1.01526717557252
2010-01-02 00:00:00,1.0
2010-01-03 00:00:00,1.0
2010-01-04 00:00:00,1.01104972375691
2010-01-05 00:00:00,1.0
2010-01-06 00:00:00,1.0
2010-01-07 00:00:00,1.0
2010-01-08 00:00:00,1.0
2010-01-09 00:00:00,1.0
2010-01-10 00:00:00,1.0
2010-01-11 00:00:00,1.0
2010-01-12 00:00:00,1.0125786163522
2010-01-13 00:00:00,1.01219512195122
2010-01-14 00:00:00,1.01398601398601
2010-01-15 00:00:00,1.00709219858156
2010-01-16 00:00:00,1.008
2010-01-17 00:00:00,1.0
2010-01-18 00:00:00,1.008
2010-01-19 00:00:00,1.0
2010-01-20 00:00:00,1.0
2010-01-21 00:00:00,1.05142857142857
2010-01-22 00:00:00,1.02255639097744
2010-01-23 00:00:00,1.0125
2010-01-24 00:00:00,1.00649350649351
2010-01-25 00:00:00,1.01895734597156
2010-01-26 00:00:00,1.03076923076923
2010-01-27 00:00:00,1.01219512195122
2010-01-28 00:00:00,1.01129943502825
2010-01-29 00:00:00,1.02030456852792
2010-01-30 00:00:00,1.01904761904762
2010-01-31 00:00:00,1.01212121212121
