Timestamp,output-volume
2009-01-03 00:00:00,100.0
2009-01-04 00:00:00,0.0
2009-01-05 00:00:00,0.0
2009-01-06 00:00:00,0.0
2009-01-07 00:00:00,0.0
2009-01-08 00:00:00,0.0
2009-01-09 00:00:00,700.0
2009-01-10 00:00:00,3000.0
2009-01-11 00:00:00,4650.0
2009-01-12 00:00:00,4879.0
2009-01-13 00:00:00,6150.0
2009-01-14 00:00:00,6511.0
2009-01-15 00:00:00,6800.0
2009-01-16 00:00:00,5600.0
2009-01-17 00:00:00,5450.0
2009-01-18 00:00:00,5500.0
2009-01-19 00:00:00,6525.0
2009-01-20 00:00:00,6100.0
2009-01-21 00:00:00,5750.0
2009-01-22 00:00:00,4500.0
2009-01-23 00:00:00,4650.0
2009-01-24 00:00:00,10550.0
2009-01-25 00:00:00,9600.0
2009-01-26 00:00:00,5800.0
2009-01-27 00:00:00,5000.0
2009-01-28 00:00:00,5600.0
2009-01-29 00:00:00,6650.0
2009-01-30 00:00:00,5850.0
2009-01-31 00:00:00,7900.0
2009-02-01 00:00:00,5750.0
2009-02-02 00:00:00,6450.0
2009-02-03 00:00:00,7686.52
2009-02-04 00:00:00,5950.0
2009-02-05 00:00:00,6300.0
2009-02-06 00:00:00,6100.0
2009-02-07 00:00:00,7648.0
2009-02-08 00:00:00,7600.0
2009-02-09 00:00:00,8900.0
2009-02-10 00:00:00,6000.0
2009-02-11 00:00:00,7200.04
2009-02-12 00:00:00,5950.0
2009-02-13 00:00:00,6200.0
2009-02-14 00:00:00,6800.0
2009-02-15 00:00:00,7300.0
2009-02-16 00:00:00,7600.0
2009-02-17 00:00:00,5850.0
2009-02-18 00:00:00,5900.0
2009-02-19 00:00:00,7000.0
2009-02-20 00:00:00,6100.0
2009-02-21 00:00:00,5700.0
2009-02-22 00:00:00,7100.0
2009-02-23 00:00:00,5400.0
2009-02-24 00:00:00,5300.0
2009-02-25 00:00:00,5250.0
2009-02-26 00:00:00,5350.0
2009-02-27 00:00:00,7550.0
2009-02-28 00:00:00,5300.0
2009-03-01 00:00:00,5250.0
2009-03-02 00:00:00,5400.0
2009-03-03 00:00:00,5650.0
2009-03-04 00:00:00,6450.0
2009-03-05 00:00:00,6000.0
2009-03-06 00:00:00,5850.0
2009-03-07 00:00:00,5450.0
2009-03-08 00:00:00,7300.0
2009-03-09 00:00:00,5400.0
2009-03-10 00:00:00,5350.0
2009-03-11 00:00:00,5700.0
2009-03-12 00:00:00,6050.0
2009-03-13 00:00:00,6400.0
2009-03-14 00:00:00,5500.0
2009-03-15 00:00:00,6150.0
2009-03-16 00:00:00,8450.0
2009-03-17 00:00:00,5700.0
2009-03-18 00:00:00,6400.0
2009-03-19 00:00:00,6100.0
2009-03-20 00:00:00,6500.0
2009-03-21 00:00:00,2550.0
2009-03-22 00:00:00,6450.0
2009-03-23 00:00:00,6500.0
2009-03-24 00:00:00,5250.0
2009-03-25 00:00:00,5850.0
2009-03-26 00:00:00,7250.0
2009-03-27 00:00:00,5300.0
2009-03-28 00:00:00,6950.0
2009-03-29 00:00:00,5800.0
2009-03-30 00:00:00,6000.0
2009-03-31 00:00:00,7100.0
2009-04-01 00:00:00,5700.0
2009-04-02 00:00:00,5750.0
2009-04-03 00:00:00,5800.0
2009-04-04 00:00:00,5650.0
2009-04-05 00:00:00,7350.0
2009-04-06 00:00:00,5450.0
2009-04-07 00:00:00,5000.0
2009-04-08 00:00:00,5250.0
2009-04-09 00:00:00,4950.0
2009-04-10 00:00:00,5400.0
2009-04-11 00:00:00,6350.0
2009-04-12 00:00:00,6850.0
2009-04-13 00:00:00,5800.0
2009-04-14 00:00:00,6200.0
2009-04-15 00:00:00,5650.0
2009-04-16 00:00:00,6150.0
2009-04-17 00:00:00,5600.0
2009-04-18 00:00:00,6482.51
2009-04-19 00:00:00,6350.0
2009-04-20 00:00:00,11700.0
2009-04-21 00:00:00,6200.0
2009-04-22 00:00:00,6050.0
2009-04-23 00:00:00,3750.0
2009-04-24 00:00:00,5750.0
2009-04-25 00:00:00,5900.0
2009-04-26 00:00:00,6350.0
2009-04-27 00:00:00,5200.0
2009-04-28 00:00:00,5850.0
2009-04-29 00:00:00,7400.0
2009-04-30 00:00:00,6550.0
2009-05-01 00:00:00,6050.0
2009-05-02 00:00:00,7049.94
2009-05-03 00:00:00,5410.0
2009-05-04 00:00:00,7900.0
2009-05-05 00:00:00,7250.0
2009-05-06 00:00:00,6750.0
2009-05-07 00:00:00,6100.0
2009-05-08 00:00:00,5400.0
2009-05-09 00:00:00,3850.0
2009-05-10 00:00:00,4250.0
2009-05-11 00:00:00,6100.0
2009-05-12 00:00:00,6500.0
2009-05-13 00:00:00,5700.01
2009-05-14 00:00:00,7149.99
2009-05-15 00:00:00,7300.0
2009-05-16 00:00:00,5950.0
2009-05-17 00:00:00,6350.0
2009-05-18 00:00:00,5900.0
2009-05-19 00:00:00,4300.0
2009-05-20 00:00:00,6000.0
2009-05-21 00:00:00,4100.0
2009-05-22 00:00:00,3100.0
2009-05-23 00:00:00,1550.0
2009-05-24 00:00:00,5000.0
2009-05-25 00:00:00,5450.0
2009-05-26 00:00:00,6250.0
2009-05-27 00:00:00,5950.0
2009-05-28 00:00:00,4750.0
2009-05-29 00:00:00,8300.0
2009-05-30 00:00:00,5450.0
2009-05-31 00:00:00,4850.0
2009-06-01 00:00:00,3600.0
2009-06-02 00:00:00,5500.0
2009-06-03 00:00:00,3600.0
2009-06-04 00:00:00,3250.0
2009-06-05 00:00:00,1550.0
2009-06-06 00:00:00,1350.0
2009-06-07 00:00:00,800.0
2009-06-08 00:00:00,4100.0
2009-06-09 00:00:00,4550.0
2009-06-10 00:00:00,4100.0
2009-06-11 00:00:00,4450.0
2009-06-12 00:00:00,4300.0
2009-06-13 00:00:00,3900.0
2009-06-14 00:00:00,3600.0
2009-06-15 00:00:00,4200.0
2009-06-16 00:00:00,3550.0
2009-06-17 00:00:00,3950.0
2009-06-18 00:00:00,4000.0
2009-06-19 00:00:00,4350.0
2009-06-20 00:00:00,3900.0
2009-06-21 00:00:00,4050.0
2009-06-22 00:00:00,6800.0
2009-06-23 00:00:00,3800.0
2009-06-24 00:00:00,4898.98
2009-06-25 00:00:00,4400.0
2009-06-26 00:00:00,4500.0
2009-06-27 00:00:00,4200.0
2009-06-28 00:00:00,2350.0
2009-06-29 00:00:00,4200.0
2009-06-30 00:00:00,4345.0
2009-07-01 00:00:00,3800.0
2009-07-02 00:00:00,4200.0
2009-07-03 00:00:00,4100.0
2009-07-04 00:00:00,4450.0
2009-07-05 00:00:00,3950.0
2009-07-06 00:00:00,4200.0
2009-07-07 00:00:00,3450.0
2009-07-08 00:00:00,3700.0
2009-07-09 00:00:00,4300.0
2009-07-10 00:00:00,4050.0
2009-07-11 00:00:00,4150.0
2009-07-12 00:00:00,3850.0
2009-07-13 00:00:00,3900.0
2009-07-14 00:00:00,3450.0
2009-07-15 00:00:00,2250.0
2009-07-16 00:00:00,3550.0
